Wed May 07 21:16:31 2014    myapp.profile

         1542233 function calls (1519371 primitive calls) in 34.620 seconds

   Ordered by: internal time, cumulative time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1188    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:463(to_local)
      216    0.002    0.000    0.104    0.000 <string>:10(<module>)
      151    0.002    0.000    0.002    0.000 <string>:32(<module>)
       11    0.002    0.000    0.007    0.001 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1939(_refresh_hint_text)
       95    0.002    0.000    0.004    0.000 C:\Python27\lib\site-packages\kivy\clock.py:499(unschedule)
      431    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      428    0.002    0.000    0.002    0.000 {method 'remove' of 'kivy.graphics.instructions.Canvas' objects}
      102    0.002    0.000    0.003    0.000 C:\Python27\lib\site-packages\kivy\context.py:72(pop)
       43    0.002    0.000    0.075    0.002 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:193(__init__)
      366    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\compat.py:28(<lambda>)
      355    0.002    0.000    0.002    0.000 C:\Users\Divine\Documents\GitHub\3dl\adapters.py:29(get_count)
      102    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\context.py:67(push)
      923    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:212(__self__)
       63    0.002    0.000    0.020    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:392(clear_widgets)
      120    0.002    0.000    0.012    0.000 C:\Python27\lib\site-packages\kivy\uix\widget.py:555(set_center_x)
      622    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\context.py:94(get_current_context)
      453    0.002    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\data\style.kv:8(<module>)
      157    0.001    0.000    0.005    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:312(on_touch_move)
       36    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\core\window\window_pygame.py:404(_pygame_update_modifiers)
      495    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\kivy\uix\relativelayout.py:196(to_local)
      144    0.001    0.000    0.010    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:224(on_touch_up)
      278    0.001    0.000    0.003    0.000 C:\Users\Divine\Documents\GitHub\3dl\adapters.py:32(get_data_item)
      282    0.001    0.000    0.001    0.000 <string>:98(<module>)
      477    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\kivy\factory.py:56(is_template)
      451    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\kivy\data\style.kv:9(<module>)
      106    0.001    0.000    0.001    0.000 <string>:17(<module>)
   316/99    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\kivy\lang.py:1381(get_bases)
      183    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\kivy\core\image\__init__.py:109(add_mipmap)
        2    0.001    0.001    0.001    0.001 {nt.stat}
       20    0.001    0.000    0.007    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:214(shorten)
      542    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\kivy\core\text\__init__.py:532(_get_text_size)
       11    0.001    0.000    0.014    0.001 C:\Python27\lib\site-packages\kivy\uix\textinput.py:1509(_update_graphics)
        5    0.001    0.000    0.004    0.001 C:\Users\Divine\Documents\GitHub\3dl\listscreen.py:67(on_pre_enter)
       68    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\uix\textinput.py:2344(_get_text)
      346    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       90    0.001    0.000    0.003    0.000 C:\Python27\lib\site-packages\kivy\uix\behaviors.py:80(on_touch_down)
      404    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\kivy\core\window\__init__.py:558(flip)
       42    0.001    0.000    0.011    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:779(_do_progress)
      548    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
       87    0.001    0.000    0.005    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:407(on_touch_move)
        1    0.001    0.001    0.001    0.001 C:\Python27\lib\site-packages\kivy\input\postproc\doubletap.py:6(<module>)
       18    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\input\motionevent.py:157(__init__)
      495    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\resources.py:25(resource_find)
       84    0.001    0.000    0.001    0.000 <string>:128(<module>)
        3    0.001    0.000    0.001    0.000 {method 'gl_dealloc' of 'kivy.graphics.context.Context' objects}
       68    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\clock.py:466(schedule_once)
      540    0.001    0.000    0.001    0.000 {method 'strip' of 'unicode' objects}
      114    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\uix\label.py:208(on_touch_down)
      224    0.001    0.000    0.001    0.000 <string>:91(<module>)
       16    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\kivy\animation.py:115(__init__)
       34    0.001    0.000    0.003    0.000 C:\Python27\lib\site-packages\kivy\input\providers\mouse.py:171(on_mouse_motion)
      459    0.001    0.000    0.001    0.000 C:\Users\Divine\Documents\GitHub\3dl\uiux.py:178(on_touch_move)
      106    0.001    0.000    0.003    0.000 <string>:8(<module>)
       58    0.001    0.000    0.001    0.000 <string>:96(<module>)
      367    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       52    0.001    0.000    0.001    0.000 C:\Python27\lib\site-packages\kivy\input\providers\mouse.py:47(depack)
      434    0.001    0.000    0.001    0.000 {method 'rstrip' of 'unicode' objects}
      140    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      140    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\uix\scrollview.py:785(_get_uid)
        6    0.001    0.000    0.001    0.000 {cPickle.dumps}
      140    0.001    0.000    0.001    0.000 <string>:135(<module>)
      183    0.001    0.000    0.001    0.000 {method 'get_buffer' of 'pygame.Surface' objects}
      120    0.001    0.000    0.002    0.000 C:\Python27\lib\site-packages\kivy\effects\dampedscroll.py:106(on_overscroll)
       35    0.001    0.000    1.615    0.046 C:\Users\Divine\Documents\GitHub\3dl\listitems.py:151(__init__)
      261    0.001    0.000    0.001    0.000 {range}
      217    0.001    0.000    0.001    0.000 {math.ceil}
